,song_count
"PL1 - Happy, Acoustic and Danceable But Calm",224
PL10 - Energetic and Intense Live Performances,197
PL11 - Rock / Alternative Rock / Indie Rock / Classic Rock,199
PL12 - Classical / Solo Piano & Orchestral,140
PL13 - Bossa Nova / Jazz,211
PL14 - Acoustic Guitar / Ambient & Orchestral,231
PL15 - Vocal Bossa / Jazz Standards & Grand Orchestral,228
PL16 - MPB / Brazilian Pop & Latin Pop & Gospel,181
PL17 - Samba / MPB & Reggaeton & Gospel,194
PL18 - Bossa Nova / Jazz & Reggaeton,155
PL19 - Indie / Alt-Soul & Reggaeton & Gospel,199
PL2 - Standard Pop / Alternative Rock,227
PL20 - Indie / Twee-Pop & Gospel,124
PL21 - Indie / Alternative & Reggaeton & Gospel,113
PL22 - Indie / Electronic,146
PL23 - MPB / Samba & Reggaeton,239
PL24 - Rap / Spoken - Extreme Speechiness,116
PL25 - EDM Remixes - Extreme Speechiness,166
PL26 - Brazilian Experimental & Latin Trap - Extreme Speechiness,167
PL27 - High-Liveness Mixed: Live Jazz / Bossa,207
PL28 - Spoken Rhythms - Brazilian Percussion,165
"PL3 - High-Tempo, Energetic and Vibrant",133
PL4 - Up-Tempo But Calm / Fast Classical,133
PL5 - Slow and Melancholy / Dark Pop,146
PL6 - Groovy / Hip-Hop / R&B / Reggaeton,262
"PL7 - Purely Acoustic, Ambient and Relaxing",161
"PL8 - High-Energy, Vocal-Heavy",228
PL9 - Doom Metal / Instrumental Death Metal,268
